TICKS, POS-REWARD, NEG-REWARD, INIT-VALUE-UPPR-BOUND, D1, D2, ACCURACY, PROBLEM-RT
20.0, 4.0, -0.5, 4.0, 5.0, 5.0, 0.6666667, 5.804333
20.0, 4.0, -0.5, 4.0, 5.0, 10.0, 0.6666667, 5.5709996
20.0, 4.0, -0.5, 4.0, 10.0, 1.0, 1.0, 5.619667
20.0, 4.0, -0.5, 4.0, 10.0, 2.0, 0.33333334, 5.557667
20.0, 4.0, -0.5, 4.0, 10.0, 5.0, 1.0, 5.623333
20.0, 4.0, -0.5, 4.0, 10.0, 10.0, 0.6666667, 5.5416665
20.0, 4.0, -1.0, 1.0, 1.0, 1.0, 0.33333334, 5.975
20.0, 4.0, -1.0, 1.0, 1.0, 2.0, 0.33333334, 5.591667
20.0, 4.0, -1.0, 1.0, 1.0, 5.0, 0.6666667, 5.5750003
20.0, 4.0, -1.0, 1.0, 1.0, 10.0, 0.33333334, 5.567667
20.0, 4.0, -1.0, 1.0, 2.0, 1.0, 1.0, 5.558333
20.0, 4.0, -1.0, 1.0, 2.0, 2.0, 0.0, 5.558333
